op_index,latency_ms,ok,error
0,13.413,1,""
1,4022.009,1,""
2,4009.289,1,""
3,4023.259,1,""
4,4023.705,1,""
5,4023.895,1,""
6,4024.053,1,""
7,4024.285,1,""
8,4025.889,1,""
9,23.043,1,""
10,22.015,1,""
11,23.015,1,""
12,4031.136,1,""
13,4031.411,1,""
14,4032.125,1,""
15,4011.699,1,""
16,4013.094,1,""
17,4013.777,1,""
18,4033.329,1,""
19,4035.703,1,""
20,28.881,1,""
21,27.640,1,""
22,30.382,1,""
23,29.256,1,""
24,4030.177,1,""
25,4005.510,1,""
26,4032.914,1,""
27,4032.207,1,""
28,4006.724,1,""
29,4008.342,1,""
30,4035.586,1,""
31,4010.491,1,""
32,28.214,1,""
33,26.917,1,""
34,28.315,1,""
35,31.055,1,""
36,28.477,1,""
37,30.558,1,""
38,4033.116,1,""
39,4008.697,1,""
40,4012.197,1,""
41,4012.804,1,""
42,4016.334,1,""
43,4017.600,1,""
44,4018.808,1,""
45,4047.441,1,""
46,36.550,1,""
47,37.758,1,""
48,34.271,1,""
49,33.652,1,""
50,4037.463,1,""
51,4009.734,1,""
52,4010.009,1,""
53,4035.568,1,""
54,4042.445,1,""
55,4043.562,1,""
56,4015.596,1,""
57,4017.078,1,""
58,28.591,1,""
59,29.512,1,""
60,28.744,1,""
61,27.805,1,""
62,31.594,1,""
63,4032.950,1,""
64,4009.947,1,""
65,4010.425,1,""
66,4013.924,1,""
67,4013.473,1,""
68,4015.259,1,""
69,4038.512,1,""
70,26.416,1,""
71,28.008,1,""
72,26.379,1,""
73,4031.408,1,""
74,4030.427,1,""
75,4031.614,1,""
76,4032.842,1,""
77,4011.239,1,""
78,4011.046,1,""
79,8.363,1,""
